;Bois;Carton;Encombrants;Fer;Inertes;Végétaux;Plastiques;TOTAL
BAILLARGUES;666;127;1 457;64;1 416;1 478;;5 208
BEAULIEU;357;73;676;35;978;1 200;101;3 420
CASTELNAU;742;197;1 108;82;1 194;951;137;4 411
CEVENNES;598;110;1 143;45;652;741;;3 289
COURNONTERRAL;375;78;990;32;;719;;2 194
GRABELS;361;65;704;63;711;959;;2 863
HOPITAUX FAC;249;74;665;23;727;670;;2 407
LA PAILLADE ;2 189;436;7 382;184;5 481;1 847;;17 519
LAVERUNE;180;50;410;14;259;288;;1 201
LE CRES;752;167;1 221;52;1 835;1 583;174;5 784
LE THOT;326;41;681;17;658;609;;2 332
MONTFERRIER SUR LEZ;353;100;664;28;814;1 125;;3 084
MURVIEL MTP;69;22;164;3;181;125;;564
P.D'ARENES;726;141;1 580;0;1 669;624;;4 740
PEROLS;1 231;274;2 559;123;1 729;1 882;;7 798
PIGNAN;674;104;1 262;51;1 564;1 168;;4 824
SAINT BRES;221;33;492;26;602;672;;2 047
SAINT GEORGES;144;36;327;6;318;422;;1 253
ST JEAN DE VEDAS;310;62;632;18;592;574;;2 188
VILLENEUVE;610;143;1 514;67;1 539;1 205;;5 078
Total général;11 134;2 332;25 629;934;22 919;18 843;412;82 204
